Customer ID,Age,Purchase Amount (USD),Review Rating,Previous Purchases,Age Group,Spending Tier,Rating Category,Loyalty Level,Gender,Item Purchased,Category,Location,Location Code,Size,Color,Season,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Payment Method,Frequency of Purchases
1,55,53,3.1,14,53-57,50-54,3.0-3.4,11-15,Male,Blouse,Clothing,Kentucky,KY,L,Gray,Winter,Yes,Express,Yes,Yes,Venmo,Fortnightly
2,19,64,3.1,2,18-22,60-64,3.0-3.4,1-5,Male,Sweater,Clothing,Maine,ME,L,Maroon,Winter,Yes,Express,Yes,Yes,Cash,Fortnightly
3,50,73,3.1,23,48-52,70-74,3.0-3.4,21-25,Male,Jeans,Clothing,Massachusetts,MA,S,Maroon,Spring,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
4,21,90,3.5,49,18-22,90-94,3.5-3.9,46-50,Male,Sandals,Footwear,Rhode Island,RI,M,Maroon,Spring,Yes,Next Day Air,Yes,Yes,PayPal,Weekly
5,45,49,2.7,31,43-47,45-49,2.5-2.9,31-35,Male,Blouse,Clothing,Oregon,OR,M,Turquoise,Spring,Yes,Free Shipping,Yes,Yes,PayPal,Annually
6,46,20,2.9,14,43-47,20-24,2.5-2.9,11-15,Male,Sneakers,Footwear,Wyoming,WY,M,White,Summer,Yes,Standard,Yes,Yes,Venmo,Weekly
7,63,85,3.2,49,63-67,85-89,3.0-3.4,46-50,Male,Shirt,Clothing,Montana,MT,M,Gray,Fall,Yes,Free Shipping,Yes,Yes,Cash,Quarterly
8,27,34,3.2,19,23-27,30-34,3.0-3.4,16-20,Male,Shorts,Clothing,Louisiana,LA,L,Charcoal,Winter,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
9,26,97,2.6,8,23-27,95-100,2.5-2.9,6-10,Male,Coat,Outerwear,West Virginia,WV,L,Silver,Summer,Yes,Express,Yes,Yes,Venmo,Annually
10,57,31,4.8,4,53-57,30-34,4.5-5.0,1-5,Male,Handbag,Accessories,Missouri,MO,M,Pink,Spring,Yes,2-Day Shipping,Yes,Yes,Cash,Quarterly
11,53,34,4.1,26,53-57,30-34,4.0-4.4,26-30,Male,Shoes,Footwear,Arkansas,AR,L,Purple,Fall,Yes,Store Pickup,Yes,Yes,Bank Transfer,Bi-Weekly
12,30,68,4.9,10,28-32,65-69,4.5-5.0,6-10,Male,Shorts,Clothing,Hawaii,HI,S,Olive,Winter,Yes,Store Pickup,Yes,Yes,Bank Transfer,Fortnightly
13,61,72,4.5,37,58-62,70-74,4.5-5.0,36-40,Male,Coat,Outerwear,Delaware,DE,M,Gold,Winter,Yes,Express,Yes,Yes,Venmo,Fortnightly
14,65,51,4.7,31,63-67,50-54,4.5-5.0,31-35,Male,Dress,Clothing,New Hampshire,NH,M,Violet,Spring,Yes,Express,Yes,Yes,PayPal,Weekly
15,64,53,4.7,34,63-67,50-54,4.5-5.0,31-35,Male,Coat,Outerwear,New York,NY,L,Teal,Winter,Yes,Free Shipping,Yes,Yes,Debit Card,Weekly
16,64,81,2.8,8,63-67,80-84,2.5-2.9,6-10,Male,Skirt,Clothing,Rhode Island,RI,M,Teal,Winter,Yes,Store Pickup,Yes,Yes,PayPal,Monthly
17,25,36,4.1,44,23-27,35-39,4.0-4.4,41-45,Male,Sunglasses,Accessories,Alabama,AL,S,Gray,Spring,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
18,53,38,4.7,36,53-57,35-39,4.5-5.0,36-40,Male,Dress,Clothing,Mississippi,MS,XL,Lavender,Winter,Yes,2-Day Shipping,Yes,Yes,Venmo,Quarterly
19,52,48,4.6,17,48-52,45-49,4.5-5.0,16-20,Male,Sweater,Clothing,Montana,MT,S,Black,Summer,Yes,Free Shipping,Yes,Yes,Cash,Weekly
20,66,90,3.3,46,63-67,90-94,3.0-3.4,46-50,Male,Pants,Clothing,Rhode Island,RI,M,Green,Summer,Yes,Standard,Yes,Yes,Debit Card,Bi-Weekly
21,21,51,2.8,50,18-22,50-54,2.5-2.9,46-50,Male,Pants,Clothing,Louisiana,LA,M,Black,Winter,Yes,Express,Yes,Yes,Cash,Every 3 Months
22,31,62,4.1,22,28-32,60-64,4.0-4.4,21-25,Male,Pants,Clothing,North Carolina,NC,M,Charcoal,Winter,Yes,Store Pickup,Yes,Yes,Debit Card,Quarterly
23,56,37,3.2,32,53-57,35-39,3.0-3.4,31-35,Male,Pants,Clothing,California,CA,M,Peach,Summer,Yes,Store Pickup,Yes,Yes,Debit Card,Annually
24,31,88,4.4,40,28-32,85-89,4.0-4.4,36-40,Male,Pants,Clothing,Oklahoma,OK,XL,White,Winter,Yes,Express,Yes,Yes,Credit Card,Weekly
25,18,22,2.9,16,18-22,20-24,2.5-2.9,16-20,Male,Jacket,Outerwear,Florida,FL,M,Green,Fall,Yes,Store Pickup,Yes,Yes,Debit Card,Weekly
26,18,25,3.6,14,18-22,25-29,3.5-3.9,11-15,Male,Hoodie,Clothing,Texas,TX,M,Silver,Summer,Yes,Express,Yes,Yes,PayPal,Annually
27,38,20,3.6,13,38-42,20-24,3.5-3.9,11-15,Male,Jewelry,Accessories,Nevada,NV,M,Red,Spring,Yes,Next Day Air,Yes,Yes,Credit Card,Annually
28,56,56,5.0,7,53-57,55-59,4.5-5.0,6-10,Male,Shorts,Clothing,Kentucky,KY,L,Cyan,Summer,Yes,Next Day Air,Yes,Yes,Bank Transfer,Every 3 Months
29,54,94,4.4,41,53-57,90-94,4.0-4.4,41-45,Male,Handbag,Accessories,North Carolina,NC,M,Gray,Fall,Yes,Free Shipping,Yes,Yes,PayPal,Every 3 Months
30,31,48,4.1,14,28-32,45-49,4.0-4.4,11-15,Male,Dress,Clothing,Wyoming,WY,S,Black,Fall,Yes,Store Pickup,Yes,Yes,Credit Card,Weekly
31,57,31,4.7,16,53-57,30-34,4.5-5.0,16-20,Male,Jewelry,Accessories,North Carolina,NC,L,Black,Winter,Yes,Standard,Yes,Yes,Credit Card,Monthly
32,33,79,4.7,45,33-37,75-79,4.5-5.0,41-45,Male,Dress,Clothing,West Virginia,WV,L,Brown,Winter,Yes,Store Pickup,Yes,Yes,Venmo,Monthly
33,36,67,4.9,37,33-37,65-69,4.5-5.0,36-40,Male,Jacket,Outerwear,Kansas,KS,M,Silver,Summer,Yes,Free Shipping,Yes,Yes,Venmo,Annually
34,54,38,3.3,45,53-57,35-39,3.0-3.4,41-45,Male,Pants,Clothing,Colorado,CO,L,Green,Summer,Yes,Store Pickup,Yes,Yes,Cash,Quarterly
35,36,91,4.6,38,33-37,90-94,4.5-5.0,36-40,Male,T-shirt,Clothing,North Dakota,ND,L,Violet,Spring,Yes,2-Day Shipping,Yes,Yes,PayPal,Quarterly
36,54,33,4.0,48,53-57,30-34,4.0-4.4,46-50,Male,Blouse,Clothing,Massachusetts,MA,M,Cyan,Summer,Yes,2-Day Shipping,Yes,Yes,Credit Card,Bi-Weekly
37,35,69,4.6,44,33-37,65-69,4.5-5.0,41-45,Male,T-shirt,Clothing,Illinois,IL,M,Maroon,Winter,Yes,Free Shipping,Yes,Yes,PayPal,Fortnightly
38,35,45,2.8,10,33-37,45-49,2.5-2.9,6-10,Male,Jeans,Clothing,Indiana,IN,S,Cyan,Summer,Yes,Store Pickup,Yes,Yes,PayPal,Weekly
39,29,37,3.7,44,28-32,35-39,3.5-3.9,41-45,Male,Dress,Clothing,Florida,FL,M,Red,Winter,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
40,70,60,4.2,18,68-70,60-64,4.0-4.4,16-20,Male,Pants,Clothing,Arizona,AZ,S,Turquoise,Summer,Yes,Express,Yes,Yes,Credit Card,Monthly
41,69,76,4.6,31,68-70,75-79,4.5-5.0,31-35,Male,Handbag,Accessories,Louisiana,LA,L,Beige,Winter,Yes,Next Day Air,Yes,Yes,Debit Card,Quarterly
42,67,39,4.5,40,63-67,35-39,4.5-5.0,36-40,Male,Scarf,Accessories,Alaska,AK,M,Orange,Spring,Yes,Standard,Yes,Yes,Venmo,Annually
43,20,100,4.1,15,18-22,95-100,4.0-4.4,11-15,Male,Coat,Outerwear,Tennessee,TN,M,Beige,Spring,Yes,Free Shipping,Yes,Yes,PayPal,Annually
44,25,69,3.7,19,23-27,65-69,3.5-3.9,16-20,Male,Scarf,Accessories,Ohio,OH,L,Lavender,Fall,Yes,Store Pickup,Yes,Yes,PayPal,Fortnightly
45,39,53,4.6,45,38-42,50-54,4.5-5.0,41-45,Male,Hat,Accessories,Kentucky,KY,S,Silver,Summer,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
46,50,21,2.9,25,48-52,20-24,2.5-2.9,21-25,Male,Socks,Clothing,Tennessee,TN,XL,Indigo,Fall,Yes,2-Day Shipping,Yes,Yes,PayPal,Annually
47,57,43,2.9,45,53-57,40-44,2.5-2.9,41-45,Male,Shirt,Clothing,California,CA,L,White,Summer,Yes,Store Pickup,Yes,Yes,Cash,Quarterly
48,55,54,4.5,36,53-57,50-54,4.5-5.0,36-40,Male,Jewelry,Accessories,Montana,MT,M,Charcoal,Winter,Yes,Free Shipping,Yes,Yes,Cash,Weekly
49,42,55,2.7,38,38-42,55-59,2.5-2.9,36-40,Male,Shirt,Clothing,Nevada,NV,M,Orange,Summer,Yes,Store Pickup,Yes,Yes,Cash,Monthly
50,68,30,4.6,34,68-70,30-34,4.5-5.0,31-35,Male,Hoodie,Clothing,New Jersey,NJ,S,Indigo,Spring,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
51,49,28,3.7,39,48-52,25-29,3.5-3.9,36-40,Male,Blouse,Clothing,Maryland,MD,M,Red,Spring,Yes,Store Pickup,Yes,Yes,Debit Card,Bi-Weekly
52,59,59,4.7,7,58-62,55-59,4.5-5.0,6-10,Male,Skirt,Clothing,Vermont,VT,XL,Gray,Winter,Yes,2-Day Shipping,Yes,Yes,Credit Card,Quarterly
53,42,20,2.6,26,38-42,20-24,2.5-2.9,26-30,Male,T-shirt,Clothing,Alaska,AK,M,Green,Summer,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
54,29,24,3.9,35,28-32,20-24,3.5-3.9,31-35,Male,Skirt,Clothing,Mississippi,MS,S,Peach,Winter,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly
55,47,94,4.2,35,43-47,90-94,4.0-4.4,31-35,Male,Coat,Outerwear,New Mexico,NM,M,Brown,Summer,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
56,40,28,3.0,49,38-42,25-29,3.0-3.4,46-50,Male,Jacket,Outerwear,South Carolina,SC,M,Lavender,Winter,Yes,2-Day Shipping,Yes,Yes,Credit Card,Annually
57,41,73,4.7,46,38-42,70-74,4.5-5.0,46-50,Male,Backpack,Accessories,Mississippi,MS,XL,Brown,Summer,Yes,Store Pickup,Yes,Yes,Credit Card,Weekly
58,21,64,4.4,17,18-22,60-64,4.0-4.4,16-20,Male,Coat,Outerwear,West Virginia,WV,M,White,Summer,Yes,Store Pickup,Yes,Yes,Debit Card,Fortnightly
59,69,54,4.2,29,68-70,50-54,4.0-4.4,26-30,Male,Hoodie,Clothing,Missouri,MO,M,Charcoal,Summer,Yes,Free Shipping,Yes,Yes,Venmo,Monthly
60,63,79,4.6,4,63-67,75-79,4.5-5.0,1-5,Male,Belt,Accessories,Louisiana,LA,L,Yellow,Spring,Yes,Standard,Yes,Yes,Debit Card,Weekly
61,50,37,4.0,17,48-52,35-39,4.0-4.4,16-20,Male,Sweater,Clothing,Idaho,ID,L,Brown,Summer,Yes,Express,Yes,Yes,Cash,Weekly
62,55,68,4.7,21,53-57,65-69,4.5-5.0,21-25,Male,Scarf,Accessories,Texas,TX,M,Orange,Winter,Yes,Store Pickup,Yes,Yes,Credit Card,Every 3 Months
63,30,21,3.8,31,28-32,20-24,3.5-3.9,31-35,Male,Sneakers,Footwear,Mississippi,MS,S,Magenta,Spring,Yes,Free Shipping,Yes,Yes,Credit Card,Fortnightly
64,33,79,2.7,43,33-37,75-79,2.5-2.9,41-45,Male,Sunglasses,Accessories,Arizona,AZ,L,Lavender,Winter,Yes,2-Day Shipping,Yes,Yes,Credit Card,Weekly
65,65,83,4.8,18,63-67,80-84,4.5-5.0,16-20,Male,Boots,Footwear,Alabama,AL,S,Green,Fall,Yes,Standard,Yes,Yes,Debit Card,Fortnightly
66,65,36,4.8,44,63-67,35-39,4.5-5.0,41-45,Male,Backpack,Accessories,New Jersey,NJ,M,Purple,Spring,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
67,31,94,4.7,3,28-32,90-94,4.5-5.0,1-5,Male,Blouse,Clothing,Pennsylvania,PA,S,Magenta,Winter,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
68,45,33,4.4,49,43-47,30-34,4.0-4.4,46-50,Male,Coat,Outerwear,Connecticut,CT,L,Gray,Winter,Yes,Store Pickup,Yes,Yes,Debit Card,Monthly
69,57,46,3.9,21,53-57,45-49,3.5-3.9,21-25,Male,Handbag,Accessories,Utah,UT,L,Silver,Summer,Yes,Next Day Air,Yes,Yes,Cash,Every 3 Months
70,48,70,4.4,5,48-52,70-74,4.0-4.4,1-5,Male,Belt,Accessories,Tennessee,TN,S,Cyan,Summer,Yes,Express,Yes,Yes,Cash,Weekly
71,22,29,4.2,32,18-22,25-29,4.0-4.4,31-35,Male,Belt,Accessories,Alabama,AL,M,Magenta,Fall,Yes,Express,Yes,Yes,Debit Card,Every 3 Months
72,36,48,2.9,34,33-37,45-49,2.5-2.9,31-35,Male,Dress,Clothing,Virginia,VA,L,Gold,Summer,Yes,Express,Yes,Yes,Bank Transfer,Annually
73,18,26,2.9,21,18-22,25-29,2.5-2.9,21-25,Male,Dress,Clothing,Georgia,GA,M,Olive,Winter,Yes,Store Pickup,Yes,Yes,Bank Transfer,Every 3 Months
74,48,85,2.7,43,48-52,85-89,2.5-2.9,41-45,Male,Pants,Clothing,Hawaii,HI,M,Teal,Spring,Yes,Free Shipping,Yes,Yes,Bank Transfer,Bi-Weekly
75,49,58,4.5,3,48-52,55-59,4.5-5.0,1-5,Male,Gloves,Accessories,Indiana,IN,L,Violet,Spring,Yes,Express,Yes,Yes,Cash,Monthly
76,64,85,2.7,21,63-67,85-89,2.5-2.9,21-25,Male,Scarf,Accessories,Utah,UT,M,Blue,Summer,Yes,Free Shipping,Yes,Yes,Credit Card,Annually
77,50,43,4.2,32,48-52,40-44,4.0-4.4,31-35,Male,Hat,Accessories,Delaware,DE,S,Teal,Summer,Yes,Free Shipping,Yes,Yes,Venmo,Monthly
78,22,53,3.3,36,18-22,50-54,3.0-3.4,36-40,Male,Dress,Clothing,Delaware,DE,L,Gold,Summer,Yes,Next Day Air,Yes,Yes,Debit Card,Fortnightly
79,50,91,4.7,50,48-52,90-94,4.5-5.0,46-50,Male,Skirt,Clothing,Nebraska,NE,M,Maroon,Spring,Yes,Free Shipping,Yes,Yes,Venmo,Fortnightly
80,38,96,2.6,43,38-42,95-100,2.5-2.9,41-45,Male,Jacket,Outerwear,Iowa,IA,M,Olive,Winter,Yes,2-Day Shipping,Yes,Yes,Bank Transfer,Every 3 Months
81,19,72,3.3,24,18-22,70-74,3.0-3.4,21-25,Male,Sandals,Footwear,New York,NY,XL,Blue,Summer,Yes,Store Pickup,Yes,Yes,Credit Card,Every 3 Months
82,67,96,2.6,36,63-67,95-100,2.5-2.9,36-40,Male,Shoes,Footwear,Virginia,VA,L,Maroon,Summer,Yes,Express,Yes,Yes,Credit Card,Every 3 Months
83,19,28,4.0,21,18-22,25-29,4.0-4.4,21-25,Male,Pants,Clothing,Georgia,GA,S,Olive,Spring,Yes,2-Day Shipping,Yes,Yes,Credit Card,Every 3 Months
84,36,40,4.1,34,33-37,40-44,4.0-4.4,31-35,Male,Dress,Clothing,Texas,TX,M,Turquoise,Summer,Yes,Standard,Yes,Yes,Bank Transfer,Weekly
85,52,32,4.4,42,48-52,30-34,4.0-4.4,41-45,Male,Coat,Outerwear,Arizona,AZ,S,Peach,Spring,Yes,Standard,Yes,Yes,Bank Transfer,Every 3 Months
86,53,95,4.5,2,53-57,95-100,4.5-5.0,1-5,Male,Sunglasses,Accessories,New Mexico,NM,M,Charcoal,Winter,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
87,24,41,3.7,47,23-27,40-44,3.5-3.9,46-50,Male,Hoodie,Clothing,Nevada,NV,L,Pink,Spring,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly
88,52,53,3.7,44,48-52,50-54,3.5-3.9,41-45,Male,Shoes,Footwear,Ohio,OH,M,Green,Fall,Yes,2-Day Shipping,Yes,Yes,Debit Card,Fortnightly
89,33,47,3.5,35,33-37,45-49,3.5-3.9,31-35,Male,T-shirt,Clothing,Wyoming,WY,M,Orange,Fall,Yes,Free Shipping,Yes,Yes,Credit Card,Monthly
90,47,83,3.6,15,43-47,80-84,3.5-3.9,11-15,Male,Jacket,Outerwear,California,CA,XL,Pink,Fall,Yes,Next Day Air,Yes,Yes,Cash,Quarterly
91,25,48,2.9,29,23-27,45-49,2.5-2.9,26-30,Male,Hat,Accessories,South Carolina,SC,L,Violet,Summer,Yes,Express,Yes,Yes,Credit Card,Monthly
92,44,99,4.6,18,43-47,95-100,4.5-5.0,16-20,Male,Scarf,Accessories,South Carolina,SC,S,Green,Winter,Yes,Standard,Yes,Yes,Credit Card,Every 3 Months
93,61,87,4.4,13,58-62,85-89,4.0-4.4,11-15,Male,Jacket,Outerwear,Texas,TX,M,Olive,Winter,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
94,37,62,4.5,46,33-37,60-64,4.5-5.0,46-50,Male,Sweater,Clothing,Florida,FL,M,Purple,Fall,Yes,Standard,Yes,Yes,Credit Card,Weekly
95,58,76,4.6,28,58-62,75-79,4.5-5.0,26-30,Male,Skirt,Clothing,Nevada,NV,S,Silver,Spring,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
96,37,100,3.8,48,33-37,95-100,3.5-3.9,46-50,Male,Sneakers,Footwear,Missouri,MO,L,Pink,Fall,Yes,Free Shipping,Yes,Yes,PayPal,Monthly
97,32,73,3.6,43,28-32,70-74,3.5-3.9,41-45,Male,Gloves,Accessories,Delaware,DE,S,Gold,Spring,Yes,Express,Yes,Yes,Venmo,Every 3 Months
98,21,92,4.8,37,18-22,90-94,4.5-5.0,36-40,Male,Shoes,Footwear,Virginia,VA,M,Teal,Winter,Yes,Store Pickup,Yes,Yes,Cash,Annually
99,20,67,2.6,20,18-22,65-69,2.5-2.9,16-20,Male,Jeans,Clothing,New York,NY,XL,Teal,Spring,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually
100,26,40,3.7,33,23-27,40-44,3.5-3.9,31-35,Male,Hoodie,Clothing,Missouri,MO,XL,Indigo,Summer,Yes,Express,Yes,Yes,Debit Card,Quarterly
101,62,98,2.7,31,58-62,95-100,2.5-2.9,31-35,Male,Sunglasses,Accessories,South Dakota,SD,M,Maroon,Fall,Yes,Express,Yes,Yes,Cash,Fortnightly
102,27,85,4.6,50,23-27,85-89,4.5-5.0,46-50,Male,Coat,Outerwear,North Dakota,ND,XL,White,Spring,Yes,Express,Yes,Yes,Credit Card,Bi-Weekly
103,51,67,4.8,35,48-52,65-69,4.5-5.0,31-35,Male,Socks,Clothing,Oklahoma,OK,L,Violet,Winter,Yes,Next Day Air,Yes,Yes,Credit Card,Quarterly
104,54,89,4.0,22,53-57,85-89,4.0-4.4,21-25,Male,Boots,Footwear,West Virginia,WV,L,Red,Winter,Yes,Next Day Air,Yes,Yes,Venmo,Bi-Weekly
105,55,24,4.4,1,53-57,20-24,4.0-4.4,1-5,Male,Sunglasses,Accessories,New Hampshire,NH,L,Pink,Spring,Yes,2-Day Shipping,Yes,Yes,PayPal,Monthly
106,69,96,3.6,4,68-70,95-100,3.5-3.9,1-5,Male,Backpack,Accessories,New York,NY,M,Charcoal,Fall,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually
107,64,35,3.7,31,63-67,35-39,3.5-3.9,31-35,Male,Jacket,Outerwear,Minnesota,MN,L,White,Summer,Yes,Standard,Yes,Yes,Credit Card,Monthly
108,28,67,3.1,46,28-32,65-69,3.0-3.4,46-50,Male,Sneakers,Footwear,Maryland,MD,L,Olive,Winter,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly
109,70,79,3.4,32,68-70,75-79,3.0-3.4,31-35,Male,Socks,Clothing,Montana,MT,L,Purple,Spring,Yes,Next Day Air,Yes,Yes,Bank Transfer,Bi-Weekly
110,58,85,2.6,43,58-62,85-89,2.5-2.9,41-45,Male,T-shirt,Clothing,Alabama,AL,M,Violet,Spring,Yes,Next Day Air,Yes,Yes,Bank Transfer,Fortnightly
111,56,26,4.0,26,53-57,25-29,4.0-4.4,26-30,Male,Backpack,Accessories,New York,NY,M,Black,Summer,Yes,Standard,Yes,Yes,Venmo,Fortnightly
112,26,75,5.0,9,23-27,75-79,4.5-5.0,6-10,Male,Belt,Accessories,Massachusetts,MA,L,Purple,Summer,Yes,Free Shipping,Yes,Yes,Credit Card,Annually
113,37,65,4.3,28,33-37,65-69,4.0-4.4,26-30,Male,Gloves,Accessories,Florida,FL,M,Red,Spring,Yes,Free Shipping,Yes,Yes,PayPal,Bi-Weekly
114,44,54,3.1,20,43-47,50-54,3.0-3.4,16-20,Male,Hat,Accessories,New Jersey,NJ,L,Maroon,Winter,Yes,Next Day Air,Yes,Yes,PayPal,Quarterly
115,70,95,3.7,9,68-70,95-100,3.5-3.9,6-10,Male,Coat,Outerwear,Massachusetts,MA,S,Blue,Summer,Yes,Store Pickup,Yes,Yes,Cash,Weekly
116,53,94,3.8,48,53-57,90-94,3.5-3.9,46-50,Male,Skirt,Clothing,Wyoming,WY,M,Gray,Spring,Yes,Standard,Yes,Yes,Debit Card,Every 3 Months
117,55,86,3.4,12,53-57,85-89,3.0-3.4,11-15,Male,Shoes,Footwear,Virginia,VA,S,Blue,Spring,Yes,Free Shipping,Yes,Yes,Venmo,Annually
118,50,32,4.6,29,48-52,30-34,4.5-5.0,26-30,Male,Sandals,Footwear,South Dakota,SD,L,Yellow,Summer,Yes,Express,Yes,Yes,Cash,Fortnightly
119,50,45,4.8,27,48-52,45-49,4.5-5.0,26-30,Male,Sweater,Clothing,Kentucky,KY,L,Orange,Fall,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly
120,38,76,4.3,44,38-42,75-79,4.0-4.4,41-45,Male,Coat,Outerwear,Wyoming,WY,M,Orange,Fall,Yes,Express,Yes,Yes,Cash,Annually
121,64,84,4.0,32,63-67,80-84,4.0-4.4,31-35,Male,Hat,Accessories,West Virginia,WV,L,Red,Summer,Yes,Express,Yes,Yes,Bank Transfer,Annually
122,19,72,4.2,11,18-22,70-74,4.0-4.4,11-15,Male,Shorts,Clothing,Virginia,VA,M,Olive,Winter,Yes,Standard,Yes,Yes,Cash,Fortnightly
123,40,40,4.8,44,38-42,40-44,4.5-5.0,41-45,Male,Backpack,Accessories,Washington,WA,L,Brown,Spring,Yes,2-Day Shipping,Yes,Yes,Cash,Fortnightly
124,57,89,3.1,46,53-57,85-89,3.0-3.4,46-50,Male,Sweater,Clothing,Louisiana,LA,L,Brown,Fall,Yes,Free Shipping,Yes,Yes,Cash,Weekly
125,44,86,3.1,50,43-47,85-89,3.0-3.4,46-50,Male,Sweater,Clothing,Nevada,NV,M,Gray,Spring,Yes,Next Day Air,Yes,Yes,PayPal,Annually
126,49,54,3.6,45,48-52,50-54,3.5-3.9,41-45,Male,Shorts,Clothing,California,CA,M,Indigo,Winter,Yes,Next Day Air,Yes,Yes,Venmo,Every 3 Months
127,43,36,3.9,48,43-47,35-39,3.5-3.9,46-50,Male,Shorts,Clothing,Mississippi,MS,L,Pink,Spring,Yes,Store Pickup,Yes,Yes,Cash,Every 3 Months
128,24,89,4.8,26,23-27,85-89,4.5-5.0,26-30,Male,Sweater,Clothing,Mississippi,MS,M,Gray,Winter,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly
129,20,32,4.7,21,18-22,30-34,4.5-5.0,21-25,Male,Scarf,Accessories,California,CA,M,Gold,Spring,Yes,Standard,Yes,Yes,Credit Card,Fortnightly
130,24,67,4.2,49,23-27,65-69,4.0-4.4,46-50,Male,Dress,Clothing,Pennsylvania,PA,XL,Olive,Summer,Yes,2-Day Shipping,Yes,Yes,PayPal,Bi-Weekly
131,44,39,3.7,13,43-47,35-39,3.5-3.9,11-15,Male,Scarf,Accessories,Kentucky,KY,L,Violet,Fall,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly
